customer_id,join_date,province,age_group,gender,loyalty_tier,preferred_channel
C00001,2024-10-16,Western Cape,26-35,Female,Silver,In-store
C00002,2023-04-25,Free State,26-35,Male,Bronze,In-store
C00003,2023-01-26,Limpopo,18-25,Male,Gold,In-store
C00004,2023-10-09,Eastern Cape,36-50,Female,Bronze,In-store
C00005,2023-09-08,Gauteng,26-35,Female,Bronze,In-store
C00006,2023-08-17,Gauteng,36-50,Female,Silver,In-store
C00007,2023-05-23,Gauteng,18-25,Prefer not to say,Silver,In-store
C00008,2023-04-15,Mpumalanga,36-50,Male,Bronze,App
C00009,2024-11-23,Eastern Cape,36-50,Female,Silver,App
C00010,2024-07-12,Limpopo,36-50,Male,Bronze,In-store
C00011,2023-03-31,Gauteng,50+,Male,Bronze,Drive-thru
C00012,2024-08-27,Free State,36-50,Male,Silver,App
C00013,2024-03-08,Mpumalanga,50+,Male,Gold,App
C00014,2023-02-02,Gauteng,26-35,Male,Silver,Drive-thru
C00015,2023-01-31,Gauteng,26-35,Male,Bronze,In-store
C00016,2023-04-06,Gauteng,18-25,Female,Silver,In-store
C00017,2023-08-12,Western Cape,18-25,Female,Bronze,In-store
C00018,2023-08-27,KwaZulu-Natal,18-25,Prefer not to say,Bronze,In-store
C00019,2024-06-01,KwaZulu-Natal,18-25,Female,Silver,In-store
C00020,2024-09-08,Western Cape,26-35,Male,Bronze,Drive-thru
C00021,2023-01-28,Eastern Cape,18-25,Male,Gold,In-store
C00022,2024-07-28,Gauteng,18-25,Male,Bronze,Drive-thru
C00023,2023-07-23,Western Cape,50+,Male,Bronze,App
C00024,2024-10-27,Western Cape,18-25,Female,Silver,App
C00025,2024-12-19,KwaZulu-Natal,36-50,Female,Silver,In-store
C00026,2024-07-12,Limpopo,18-25,Male,Bronze,App
C00027,2024-03-05,Gauteng,50+,Male,Bronze,In-store
C00028,2023-08-14,KwaZulu-Natal,50+,Male,Silver,In-store
C00029,2024-04-04,Eastern Cape,36-50,Male,Bronze,Drive-thru
C00030,2024-08-26,Gauteng,36-50,Male,Bronze,In-store
C00031,2023-10-12,Eastern Cape,18-25,Female,Silver,App
C00032,2023-01-07,Gauteng,50+,Male,Bronze,Drive-thru
C00033,2023-06-13,Gauteng,36-50,Female,Gold,In-store
C00034,2024-12-15,Free State,50+,Male,Silver,App
C00035,2024-03-08,Free State,36-50,Male,Gold,App
C00036,2023-12-15,Mpumalanga,26-35,Female,Bronze,In-store
C00037,2023-10-12,Western Cape,50+,Female,Gold,Drive-thru
C00038,2023-06-09,Gauteng,26-35,Male,Bronze,Drive-thru
C00039,2023-08-09,Eastern Cape,26-35,Female,Bronze,App
C00040,2023-12-11,KwaZulu-Natal,18-25,Male,Bronze,App
C00041,2023-04-15,Gauteng,50+,Male,Bronze,App
C00042,2023-04-05,KwaZulu-Natal,18-25,Female,Bronze,App
C00043,2024-01-25,Gauteng,18-25,Female,Bronze,App
C00044,2023-04-10,North West,26-35,Male,Bronze,In-store
C00045,2024-01-03,Gauteng,36-50,Male,Bronze,In-store
C00046,2023-12-19,Eastern Cape,36-50,Female,Silver,Drive-thru
C00047,2024-09-10,Western Cape,18-25,Male,Bronze,In-store
C00048,2023-09-28,KwaZulu-Natal,18-25,Male,Silver,App
C00049,2023-02-14,KwaZulu-Natal,36-50,Female,Bronze,Drive-thru
C00050,2024-04-15,Gauteng,50+,Female,Gold,In-store
C00051,2024-07-03,Free State,36-50,Male,Bronze,App
C00052,2023-05-08,Limpopo,26-35,Female,Gold,In-store
C00053,2024-01-23,Free State,50+,Female,Bronze,Drive-thru
C00054,2023-03-22,North West,26-35,Male,Gold,In-store
C00055,2024-07-19,Eastern Cape,26-35,Female,Bronze,In-store
C00056,2023-10-28,North West,26-35,Prefer not to say,Silver,App
C00057,2024-10-05,Gauteng,26-35,Male,Silver,App
C00058,2024-09-25,Gauteng,36-50,Male,Bronze,In-store
C00059,2024-01-06,Gauteng,26-35,Female,Bronze,In-store
C00060,2024-08-14,Western Cape,26-35,Female,Silver,In-store
C00061,2023-07-16,KwaZulu-Natal,26-35,Male,Bronze,In-store
C00062,2024-12-22,Western Cape,18-25,Female,Bronze,App
C00063,2023-03-13,Mpumalanga,26-35,Female,Silver,In-store
C00064,2023-02-16,Western Cape,18-25,Female,Bronze,App
C00065,2024-11-08,Western Cape,18-25,Female,Silver,Drive-thru
C00066,2023-08-22,KwaZulu-Natal,36-50,Male,Bronze,Drive-thru
C00067,2023-10-24,Gauteng,36-50,Male,Bronze,App
C00068,2023-03-23,Mpumalanga,36-50,Female,Bronze,In-store
C00069,2023-08-27,Gauteng,26-35,Male,Silver,In-store
C00070,2023-04-14,Northern Cape,50+,Female,Gold,Drive-thru
C00071,2024-01-25,Limpopo,50+,Male,Bronze,Drive-thru
C00072,2023-10-12,Gauteng,36-50,Male,Bronze,App
C00073,2024-04-09,Gauteng,36-50,Female,Bronze,Drive-thru
C00074,2024-10-12,Mpumalanga,26-35,Female,Silver,Drive-thru
C00075,2024-01-09,Limpopo,50+,Female,Bronze,Drive-thru
C00076,2023-06-16,Limpopo,26-35,Female,Bronze,App
C00077,2024-01-15,Limpopo,18-25,Male,Bronze,Drive-thru
C00078,2023-12-30,Gauteng,26-35,Male,Bronze,Drive-thru
C00079,2023-08-03,Western Cape,18-25,Female,Bronze,In-store
C00080,2024-11-17,Gauteng,50+,Male,Bronze,Drive-thru
C00081,2023-10-01,Mpumalanga,26-35,Female,Silver,In-store
C00082,2024-12-19,Eastern Cape,26-35,Female,Gold,In-store
C00083,2024-11-30,Western Cape,36-50,Male,Silver,App
C00084,2024-10-25,Gauteng,26-35,Female,Bronze,App
C00085,2023-03-15,Western Cape,18-25,Male,Bronze,Drive-thru
C00086,2024-09-15,Western Cape,36-50,Female,Bronze,In-store
C00087,2024-10-12,Limpopo,36-50,Male,Silver,In-store
C00088,2023-06-25,Eastern Cape,26-35,Male,Bronze,In-store
C00089,2024-06-30,North West,36-50,Female,Gold,App
C00090,2023-09-08,KwaZulu-Natal,18-25,Female,Bronze,App
C00091,2023-06-17,Gauteng,18-25,Female,Silver,In-store
C00092,2024-04-18,Limpopo,18-25,Female,Silver,App
C00093,2024-01-24,Limpopo,26-35,Female,Bronze,In-store
C00094,2023-10-04,KwaZulu-Natal,36-50,Male,Silver,App
C00095,2024-10-17,Limpopo,36-50,Female,Gold,In-store
C00096,2024-12-05,KwaZulu-Natal,26-35,Female,Gold,App
C00097,2024-07-24,KwaZulu-Natal,26-35,Male,Silver,In-store
C00098,2023-08-13,KwaZulu-Natal,36-50,Female,Bronze,In-store
C00099,2024-12-02,Gauteng,18-25,Female,Silver,Drive-thru
C00100,2023-11-29,Gauteng,18-25,Male,Silver,App
C00101,2023-02-27,Gauteng,50+,Female,Bronze,App
C00102,2023-08-23,Eastern Cape,36-50,Male,Bronze,App
C00103,2023-02-02,Western Cape,50+,Male,Bronze,App
C00104,2023-11-20,KwaZulu-Natal,26-35,Male,Bronze,App
C00105,2024-02-15,North West,36-50,Female,Silver,App
C00106,2023-10-02,Gauteng,18-25,Male,Bronze,App
C00107,2023-03-09,KwaZulu-Natal,26-35,Female,Bronze,In-store
C00108,2023-08-05,Limpopo,26-35,Female,Bronze,In-store
C00109,2024-08-03,Gauteng,26-35,Female,Bronze,Drive-thru
C00110,2023-11-19,Gauteng,18-25,Male,Bronze,Drive-thru
C00111,2023-08-06,Western Cape,26-35,Female,Bronze,In-store
C00112,2024-11-02,Gauteng,18-25,Female,Bronze,In-store
C00113,2024-05-26,North West,36-50,Female,Silver,In-store
C00114,2024-02-10,Mpumalanga,26-35,Female,Bronze,App
C00115,2024-10-20,Eastern Cape,18-25,Female,Bronze,In-store
C00116,2024-04-14,North West,18-25,Female,Bronze,App
C00117,2023-05-27,Mpumalanga,18-25,Male,Bronze,Drive-thru
C00118,2023-09-29,Gauteng,36-50,Female,Bronze,Drive-thru
C00119,2023-05-23,North West,18-25,Male,Bronze,In-store
C00120,2023-09-10,KwaZulu-Natal,36-50,Male,Bronze,Drive-thru
C00121,2024-07-28,Mpumalanga,18-25,Female,Bronze,App
C00122,2024-07-05,North West,18-25,Female,Bronze,In-store
C00123,2023-09-27,Western Cape,50+,Prefer not to say,Silver,In-store
C00124,2024-08-21,Gauteng,36-50,Female,Bronze,App
C00125,2024-03-14,Gauteng,18-25,Female,Silver,Drive-thru
