customer_id,loyalty_tier,province,age_group,preferred_channel,gender
C00001,Bronze,KwaZulu-Natal,55+,Web,Other
C00002,Gold,Gauteng,18-25,In-Store,Female
C00003,Silver,KwaZulu-Natal,55+,App,Female
C00004,Silver,Gauteng,18-25,App,Male
C00005,Bronze,Gauteng,26-35,App,Other
C00006,Bronze,Gauteng,46-55,App,Female
C00007,Bronze,Western Cape,18-25,App,Male
C00008,Gold,Eastern Cape,55+,App,Other
C00009,Silver,Gauteng,26-35,App,Female
C00010,Silver,Eastern Cape,18-25,Web,Female
C00011,Bronze,Western Cape,36-45,In-Store,Other
C00012,Gold,KwaZulu-Natal,46-55,App,Other
C00013,Silver,Gauteng,18-25,Web,Other
C00014,Bronze,KwaZulu-Natal,26-35,Web,Other
C00015,Bronze,KwaZulu-Natal,36-45,In-Store,Male
C00016,Bronze,Gauteng,26-35,App,Other
C00017,Bronze,Gauteng,26-35,In-Store,Female
C00018,Bronze,Eastern Cape,36-45,App,Female
C00019,Bronze,Limpopo,26-35,Web,Male
C00020,Bronze,Gauteng,36-45,Web,Female
C00021,Silver,KwaZulu-Natal,18-25,Web,Female
C00022,Bronze,Eastern Cape,36-45,Web,Other
C00023,Bronze,Eastern Cape,36-45,In-Store,Female
C00024,Bronze,Limpopo,46-55,App,Male
C00025,Bronze,KwaZulu-Natal,36-45,App,Other
C00026,Silver,Western Cape,36-45,In-Store,Other
C00027,Bronze,Gauteng,18-25,App,Male
C00028,Bronze,Gauteng,46-55,Web,Other
C00029,Silver,KwaZulu-Natal,55+,App,Other
C00030,Bronze,KwaZulu-Natal,18-25,Web,Male
C00031,Silver,Gauteng,18-25,In-Store,Other
C00032,Bronze,Eastern Cape,55+,App,Male
C00033,Bronze,KwaZulu-Natal,36-45,In-Store,Male
C00034,Gold,Western Cape,26-35,App,Female
C00035,Gold,Western Cape,46-55,Web,Female
C00036,Silver,Western Cape,26-35,In-Store,Other
C00037,Bronze,Gauteng,55+,App,Other
C00038,Bronze,Gauteng,18-25,Web,Male
C00039,Silver,Gauteng,18-25,In-Store,Other
C00040,Bronze,Gauteng,46-55,In-Store,Male
C00041,Bronze,Western Cape,18-25,App,Male
C00042,Bronze,Western Cape,18-25,App,Other
C00043,Bronze,Gauteng,46-55,App,Male
